t,rms
0.003,3.18198e-05
0.006,9.52621e-05
0.009,0.000190093
0.012,0.000316041
0.015,0.0004728
0.018,0.000660027
0.021,0.000877347
0.024,0.00112435
0.027,0.00140058
0.03,0.00170557
0.033,0.00203882
0.036,0.00239976
0.039,0.00278785
0.042,0.00320247
0.045,0.00364299
0.048,0.00410875
0.051,0.00459908
0.054,0.00511326
0.057,0.00565055
0.06,0.00621019
0.063,0.0067914
0.066,0.00739338
0.069,0.00801529
0.072,0.0086563
0.075,0.00931553
0.078,0.00999211
0.081,0.0106851
0.084,0.0113937
0.087,0.0121169
0.09,0.0128537
0.093,0.0136032
0.096,0.0143645
0.099,0.0151366
0.102,0.0159184
0.105,0.0167091
0.108,0.0175076
0.111,0.0183129
0.114,0.019124
0.117,0.0199399
0.12,0.0207597
0.123,0.0215822
0.126,0.0224066
0.129,0.0232317
0.132,0.0240567
0.135,0.0248805
0.138,0.0257022
0.141,0.0265207
0.144,0.0273352
0.147,0.0281445
0.15,0.0289479
0.153,0.0297443
0.156,0.0305329
0.159,0.0313128
0.162,0.0320829
0.165,0.0328426
0.168,0.0335908
0.171,0.0343268
0.174,0.0350498
0.177,0.0357589
0.18,0.0364534
0.183,0.0371325
0.186,0.0377954
0.189,0.0384415
0.192,0.03907
0.195,0.0396804
0.198,0.0402719
0.201,0.0408439
0.204,0.0413959
0.207,0.0419273
0.21,0.0424375
0.213,0.042926
0.216,0.0433925
0.219,0.0438363
0.222,0.0442571
0.225,0.0446546
0.228,0.0450283
0.231,0.0453779
0.234,0.0457031
0.237,0.0460037
0.24,0.0462794
0.243,0.04653
0.246,0.0467553
0.249,0.0469552
0.252,0.0471296
0.255,0.0472784
0.258,0.0474015
0.261,0.047499
0.264,0.0475707
0.267,0.0476169
0.27,0.0476375
0.273,0.0476327
0.276,0.0476025
0.279,0.0475472
0.282,0.0474669
0.285,0.0473619
0.288,0.0472324
0.291,0.0470787
0.294,0.0469011
0.297,0.0466999
0.3,0.0464755
0.303,0.0462282
0.306,0.0459586
0.309,0.0456669
0.312,0.0453538
0.315,0.0450196
0.318,0.0446649
0.321,0.0442901
0.324,0.0438959
0.327,0.0434829
0.33,0.0430515
0.333,0.0426025
0.336,0.0421363
0.339,0.0416538
0.342,0.0411555
0.345,0.0406422
0.348,0.0401145
0.351,0.039573
0.354,0.0390187
0.357,0.0384521
0.36,0.037874
0.363,0.0372851
0.366,0.0366863
0.369,0.0360783
0.372,0.0354619
0.375,0.0348377
0.378,0.0342068
0.381,0.0335697
0.384,0.0329274
0.387,0.0322806
0.39,0.0316301
0.393,0.0309767
0.396,0.0303213
0.399,0.0296645
0.402,0.0290073
0.405,0.0283503
0.408,0.0276945
0.411,0.0270405
0.414,0.0263891
0.417,0.0257412
0.42,0.0250974
0.423,0.0244586
0.426,0.0238254
0.429,0.0231986
0.432,0.0225789
0.435,0.0219671
0.438,0.0213637
0.441,0.0207696
0.444,0.0201853
0.447,0.0196116
0.45,0.019049
0.453,0.0184982
0.456,0.0179597
0.459,0.0174342
0.462,0.0169223
0.465,0.0164244
0.468,0.0159411
0.471,0.0154729
0.474,0.0150204
0.477,0.0145838
0.48,0.0141638
0.483,0.0137607
0.486,0.0133749
0.489,0.0130068
0.492,0.0126568
0.495,0.0123252
0.498,0.0120122
0.501,0.0117182
0.504,0.0114435
0.507,0.0111882
0.51,0.0109525
0.513,0.0107368
0.516,0.010541
0.519,0.0103654
0.522,0.01021
0.525,0.010075
0.528,0.00996044
0.531,0.00986628
0.534,0.00979257
0.537,0.0097393
0.54,0.00970643
0.543,0.00969389
0.546,0.0097016
0.549,0.00972946
0.552,0.00977731
0.555,0.00984502
0.558,0.00993239
0.561,0.0100392
0.564,0.0101653
0.567,0.0103104
0.57,0.0104742
0.573,0.0106564
0.576,0.0108567
0.579,0.0110748
0.582,0.0113104
0.585,0.0115631
0.588,0.0118324
0.591,0.012118
0.594,0.0124194
0.597,0.0127363
0.6,0.0130681
0.603,0.0134144
0.606,0.0137746
0.609,0.0141484
0.612,0.0145352
0.615,0.0149343
0.618,0.0153454
0.621,0.0157679
0.624,0.0162011
0.627,0.0166445
0.63,0.0170976
0.633,0.0175597
0.636,0.0180302
0.639,0.0185086
0.642,0.0189942
0.645,0.0194864
0.648,0.0199845
0.651,0.020488
0.654,0.0209962
0.657,0.0215086
0.66,0.0220243
0.663,0.0225429
0.666,0.0230636
0.669,0.0235859
0.672,0.0241091
0.675,0.0246326
0.678,0.0251557
0.681,0.0256778
0.684,0.0261983
0.687,0.0267166
0.69,0.0272321
0.693,0.0277441
0.696,0.0282521
0.699,0.0287555
0.702,0.0292536
0.705,0.029746
0.708,0.0302321
0.711,0.0307113
0.714,0.031183
0.717,0.0316468
0.72,0.0321021
0.723,0.0325484
0.726,0.0329853
0.729,0.0334122
0.732,0.0338287
0.735,0.0342343
0.738,0.0346287
0.741,0.0350113
0.744,0.0353819
0.747,0.0357399
0.75,0.0360851
0.753,0.0364171
0.756,0.0367355
0.759,0.0370401
0.762,0.0373305
0.765,0.0376066
0.768,0.0378679
0.771,0.0381143
0.774,0.0383455
0.777,0.0385614
0.78,0.0387617
0.783,0.0389464
0.786,0.0391152
0.789,0.0392681
0.792,0.0394049
0.795,0.0395255
0.798,0.0396299
0.801,0.0397181
0.804,0.03979
0.807,0.0398456
0.81,0.0398849
0.813,0.039908
0.816,0.0399149
0.819,0.0399057
0.822,0.0398805
0.825,0.0398393
0.828,0.0397824
0.831,0.0397099
0.834,0.0396218
0.837,0.0395185
0.84,0.0394001
0.843,0.0392669
0.846,0.039119
0.849,0.0389567
0.852,0.0387803
0.855,0.03859
0.858,0.0383863
0.861,0.0381693
0.864,0.0379394
0.867,0.0376969
0.87,0.0374422
0.873,0.0371758
0.876,0.0368978
0.879,0.0366088
0.882,0.0363091
0.885,0.0359991
0.888,0.0356794
0.891,0.0353502
0.894,0.0350121
0.897,0.0346655
0.9,0.0343108
