grid, time[s], error
2, 7.4e-05, 0
3, 0.000142, 0.0416667
4, 0.000343, 0.0232792
5, 0.000696, 0.0141442
6, 0.001533, 0.0093802
7, 0.002724, 0.00664143
8, 0.004647, 0.00493691
9, 0.007011, 0.00380875
10, 0.009286, 0.00302519
11, 0.013196, 0.00245962
12, 0.030968, 0.00203841
13, 0.044071, 0.00171647
14, 0.043381, 0.00146498
15, 0.063747, 0.00126483
16, 0.071957, 0.00110298
17, 0.10286, 0.000970265
18, 0.116773, 0.000860093
19, 0.155237, 0.000767648
20, 0.197492, 0.000689323
21, 0.246315, 0.000622389
22, 0.269795, 0.000564738
23, 0.405328, 0.000514735
24, 0.428253, 0.000471108
25, 0.439579, 0.000432778
26, 0.64052, 0.000398939
27, 0.758372, 0.000368914
28, 0.82984, 0.000342156
29, 0.961703, 0.000318203
30, 1.16943, 0.000296679
31, 1.25574, 0.000277266
32, 1.42948, 0.000259696
33, 1.56186, 0.000243773
34, 1.48844, 0.000229244
35, 1.95453, 0.000215979
36, 2.32395, 0.000203829
37, 2.44409, 0.000192678
38, 2.77247, 0.000182415
39, 2.65801, 0.000172952
40, 3.2883, 0.000164205
41, 3.10347, 0.000156107
42, 3.95661, 0.000148621
43, 3.65429, 0.000141634
44, 4.74531, 0.000135129
45, 4.35785, 0.000129062
46, 4.84351, 0.000123395
47, 6.42252, 0.000118092
48, 7.06401, 0.000113124
49, 7.63486, 0.000108493
50, 8.29351, 0.000104114
51, 8.89705, 9.99944e-05
52, 9.69699, 9.61132e-05
53, 10.4978, 9.24557e-05
54, 11.3776, 8.90009e-05
55, 12.254, 8.57697e-05
56, 11.0989, 8.26808e-05
57, 14.0724, 7.97575e-05
58, 15.0448, 7.69842e-05
59, 17.1418, 7.43541e-05
60, 14.686, 7.18571e-05
61, 18.9186, 6.95168e-05
62, 19.8047, 6.72574e-05
63, 22.3206, 6.51434e-05
64, 18.7023, 6.30577e-05
65, 25.6271, 6.11038e-05
66, 27.1608, 5.92744e-05
67, 26.4219, 5.75311e-05
68, 28.0954, 5.57921e-05
69, 28.5065, 5.42384e-05
70, 24.9048, 5.26441e-05
71, 31.4029, 5.11913e-05
72, 29.8336, 4.9762e-05
73, 34.933, 4.84299e-05
74, 40.6804, 4.7117e-05
75, 38.7746, 4.58566e-05
76, 29.4624, 4.46828e-05
77, 37.78, 4.35194e-05
78, 41.587, 4.24013e-05
79, 41.6717, 4.13258e-05
80, 36.5525, 4.03285e-05
81, 46.5939, 3.93319e-05
82, 48.4141, 3.83725e-05
83, 50.7587, 3.74471e-05
84, 44.432, 3.65943e-05
